,Community Board,studio_1br,multi_bedroom,total built units
27,BX-10,5628.0,9978.0,15606.0
54,QN-12,4415.0,3531.0,7946.0
4,BK-05,3898.0,3186.0,7084.0
21,BX-04,3759.0,2572.0,6331.0
22,BX-05,2942.0,1608.0,4550.0
23,BX-06,2241.0,2096.0,4337.0
0,BK-01,2265.0,2038.0,4303.0
56,QN-14,2057.0,1822.0,3879.0
16,BK-17,2081.0,1638.0,3719.0
40,MN-10,1521.0,2080.0,3601.0
29,BX-12,1890.0,1530.0,3420.0
1,BK-02,2196.0,1199.0,3395.0
20,BX-03,1549.0,1656.0,3205.0
18,BX-01,2010.0,1118.0,3128.0
2,BK-03,1820.0,1174.0,2994.0
24,BX-07,2215.0,772.0,2987.0
42,MN-12,1792.0,1161.0,2953.0
41,MN-11,1607.0,1204.0,2811.0
50,QN-08,769.0,1979.0,2748.0
15,BK-16,1649.0,869.0,2518.0
34,MN-04,1665.0,824.0,2489.0
12,BK-13,1343.0,879.0,2222.0
5,BK-06,1419.0,758.0,2177.0
44,QN-02,1490.0,661.0,2151.0
33,MN-03,1277.0,738.0,2015.0
26,BX-09,1383.0,604.0,1987.0
37,MN-07,1314.0,630.0,1944.0
19,BX-02,1027.0,909.0,1936.0
43,QN-01,1417.0,434.0,1851.0
39,MN-09,801.0,811.0,1612.0
49,QN-07,1025.0,490.0,1515.0
8,BK-09,937.0,491.0,1428.0
7,BK-08,927.0,432.0,1359.0
28,BX-11,949.0,364.0,1313.0
3,BK-04,817.0,288.0,1105.0
25,BX-08,644.0,459.0,1103.0
57,SI-01,751.0,264.0,1015.0
13,BK-14,577.0,382.0,959.0
46,QN-04,380.0,326.0,706.0
14,BK-15,316.0,363.0,679.0
6,BK-07,401.0,193.0,594.0
36,MN-06,432.0,52.0,484.0
31,MN-01,454.0,27.0,481.0
38,MN-08,313.0,104.0,417.0
48,QN-06,283.0,121.0,404.0
45,QN-03,248.0,103.0,351.0
11,BK-12,147.0,187.0,334.0
32,MN-02,173.0,155.0,328.0
35,MN-05,268.0,11.0,279.0
10,BK-11,148.0,116.0,264.0
47,QN-05,160.0,40.0,200.0
51,QN-09,111.0,58.0,169.0
58,SI-02,84.0,27.0,111.0
17,BK-18,22.0,46.0,68.0
53,QN-11,28.0,10.0,38.0
55,QN-13,0.0,25.0,25.0
59,SI-03,3.0,16.0,19.0
52,QN-10,6.0,10.0,16.0
30,BX-20,10.0,2.0,12.0
9,BK-10,3.0,4.0,7.0
